fromNode	toNode	weight	direction	fromAltName	toAltName
NDUFS2	NDUFS1	0.00652757825939732	undirected	M.252	M.367
NDUFS2	NDUFA10	0.00164565437088049	undirected	M.252	M.33
NDUFS2	NDUFAF5	0.0121895358298059	undirected	M.252	M.27
NDUFS2	IDH3B	0.000848271546884161	undirected	M.252	M.419
NDUFS2	NDUFV3	2.05725033541881e-05	undirected	M.252	M.307
NDUFS2	UQCR10	0.0090919283231683	undirected	M.252	M.125
NDUFS2	ACO2	0.0342189009448404	undirected	M.252	M.27
NDUFS2	NDUFA6	0.00838161553286942	undirected	M.252	M.366
NDUFS2	SCO2	8.05592445786152e-05	undirected	M.252	M.24
NDUFS2	NDUFAF3	0.000545444771423598	undirected	M.252	M.178
NDUFS2	TIMMDC1	0.00846669991119797	undirected	M.252	M.178
NDUFS2	NDUFB4	0.00295811567037363	undirected	M.252	M.364
NDUFS2	ACAD9	0.0023649691528701	undirected	M.252	M.203
NDUFS2	NDUFB5	0.00526327941251603	undirected	M.252	M.389
NDUFS2	UQCRC1	0.010796050348193	undirected	M.252	M.406
NDUFS2	SUCLG2	0.00130961252457862	undirected	M.252	M.18
NDUFS2	ETFDH	0.0292196634356008	undirected	M.252	M.27
NDUFS2	COX18	0.000111762002157678	undirected	M.252	M.97
NDUFS2	NDUFC1	0.00134879599789772	undirected	M.252	M.389
NDUFS2	SDHA	0.021863768486475	undirected	M.252	M.232
NDUFS2	NDUFS6	0.00158731431415127	undirected	M.252	M.74
NDUFS2	NNT	0.0110124425691599	undirected	M.252	M.303
NDUFS2	NDUFS4	0.00019864756984711	undirected	M.252	M.159
NDUFS2	NDUFAF2	7.98260362360192e-05	undirected	M.252	M.233
NDUFS2	COX7C	0.00385084466183716	undirected	M.252	M.355
NDUFS2	UQCRQ	0.00476685042204028	undirected	M.252	M.366
NDUFS2	NDUFA2	0.00228904835878807	undirected	M.252	M.125
NDUFS2	NDUFAF4	0.0496645910889217	undirected	M.252	M.27
NDUFS2	OGDH	0.00314288895226889	undirected	M.252	M.367
NDUFS2	MDH2	0.00201869803328503	undirected	M.252	M.294
NDUFS2	DLD	0.00565622892375572	undirected	M.252	M.367
NDUFS2	NDUFB2	0.00199347858864984	undirected	M.252	M.132
NDUFS2	NDUFA4	0.00151481968392686	undirected	M.252	M.235
NDUFS2	CYCS	0.0128339940203639	undirected	M.252	M.294
NDUFS2	NDUFA5	0.00648465584850599	undirected	M.252	M.151
NDUFS2	NDUFAF6	0.0038886101134129	undirected	M.252	M.129
NDUFS2	NDUFB9	0.00144432398837979	undirected	M.252	M.217
NDUFS2	CYC1	0.0166087650287605	undirected	M.252	M.125
